,CNN-based model adadelta,CNN-based model adam,CNN-based model rmsprop,vConv-based model adadelta,vConv-based model adam,vConv-based model rmsprop
107,0.6010955677285303,0.5915843509372326,0.5327503638929321,0.6333514816831298,0.5849398326648074,0.5099723330259225
108,0.6051622795808842,0.6441960466227402,0.5085500950010555,0.6712852365026278,0.6142401582239804,0.6026733630373671
109,0.6693629929221436,0.6416182402026689,0.5842509361215124,0.594284380937566,0.6013511261236235,0.6223846931632573
110,0.63625151390571,0.5457060634007045,0.5114390159890665,0.6724074711941244,0.5527061411793465,0.580284225380282
111,0.5941066011844576,0.5958232869254103,0.46317181302014465,0.6805853398371093,0.5943621595795509,0.5987510972344137
112,0.6058956210624563,0.5178168646318292,0.5670618562428471,0.6514072378581984,0.6242180468671874,0.6001400015555729
113,0.5942288247647195,0.5873287480972011,0.5996399959999557,0.6529072545250503,0.49233880376448624,0.48322759141768235
114,0.6483294258825099,0.4851165012944588,0.5625618062422917,0.6418071311903466,0.535917065745175,0.5624618051311681
115,0.6171513016811299,0.49585550950566115,0.4908387870976344,0.6861742908254536,0.6221069122990255,0.6226846964966278
116,0.6309403437815976,0.4429271436349293,0.5073278591984356,0.6118179090878787,0.5520283558706207,0.4969166324070267
117,0.5392837698196646,0.5161890687674308,0.5447838309314548,0.668240758230647,0.5976177513083478,0.6223402482249802
118,0.6799853331703685,0.6169846331625907,0.5892954366159624,0.5486727630307003,0.5689174324159156,0.5861620684674274
119,0.647729419215769,0.5535394837720419,0.575761952910588,0.6621073567484084,0.6022955810620119,0.6073956377293082
120,0.6079623106923411,0.5005111167901866,0.5344614940166001,0.6291736574850832,0.6395737730419226,0.4848720541339348
121,0.4604051156123957,0.5847398304425604,0.5024166935188169,0.6695852176135291,0.5053833931488128,0.5448616095734398
122,0.6129845887176524,0.6304736719296881,0.46452738363759594,0.6424404715607951,0.6150290558783986,0.6550072778586429
123,0.6364070711896799,0.4764386270958566,0.6350959455105057,0.5410726785853176,0.5978844209380104,0.6220735785953178
124,0.6231069234102601,0.4831498127756976,0.6077400860009556,0.6318847987199858,0.5201168901876688,0.5505838953766153
125,0.592495472171913,0.6092845476060845,0.47964977388637653,0.5742286025400283,0.5349948332759253,0.6202291136568184
126,0.668529650329448,0.537505972288581,0.5377170857453972,0.6734963721819132,0.6371737463749597,0.5327614751275015
127,0.7083745374948611,0.5191835464838498,0.47992755475060833,0.6133734819275769,0.6322403582262026,0.6359626218069091
128,0.536161512905699,0.5016944632718141,0.5936843742708252,0.7186302070023001,0.7282192024355826,0.6838853765041835
129,0.6404071156346182,0.49373881932021463,0.5474505272280803,0.6957632862587362,0.7118856876187513,0.7176968632984811
130,0.5421949132768142,0.5003555595062168,0.4748163868487428,0.7091078789764331,0.7121745797175524,0.7275414171268569
131,0.5289725441393793,0.5812509027878088,0.5287280969788554,0.7444638273758598,0.7116412404582273,0.72428582539806
132,0.57649529439216,0.5341614906832298,0.5551617240191558,0.705730063667374,0.7210524561384015,0.6464294047711642
133,0.5822620251336127,0.6262180690896566,0.5508672318581317,0.7186413182368692,0.7078078645318282,0.703485594284381
134,0.5996066622962477,0.6122068022978033,0.6215291281014235,0.7116523516927966,0.7351415015722397,0.7242524916943521
135,0.5260947343859376,0.5092278803097813,0.5366392959921777,0.6998744430493671,0.7300192224358049,0.7092856587295415
136,0.5072611917910199,0.5677618640207114,0.6175735285947622,0.7072856365070723,0.6977966421849132,0.6962188468760765
